lemma,1830,1840,1850,sum
[MINGLE],339.0,371.0,289.0,999.0
[PREACH],211.0,405.0,381.0,997.0
[COMBINE],296.0,292.0,408.0,996.0
[ABANDON],321.0,294.0,378.0,993.0
[STEAL],299.0,347.0,346.0,992.0
[CLEAR],367.0,287.0,335.0,989.0
[SHUT],282.0,332.0,371.0,985.0
[DEFEND],293.0,356.0,336.0,985.0
[ENTERTAIN],363.0,336.0,281.0,980.0
[RESPECT],423.0,280.0,276.0,979.0
[SHOOT],267.0,398.0,313.0,978.0
[SUIT],400.0,291.0,284.0,975.0
[CONVINCE],333.0,334.0,304.0,971.0
[SUSPECT],293.0,374.0,304.0,971.0
[BESTOW],368.0,294.0,307.0,969.0
[PRONOUNCE],377.0,318.0,271.0,966.0
[ERECT],355.0,271.0,338.0,964.0
[DEVELOP],196.0,342.0,422.0,960.0
[CHARGE],317.0,328.0,311.0,956.0
[MARRY],310.0,370.0,273.0,953.0
[FLOW],263.0,352.0,335.0,950.0
[CONTRIBUTE],316.0,319.0,313.0,948.0
[ASSEMBLE],371.0,321.0,254.0,946.0
[INVOLVE],276.0,339.0,329.0,944.0
[PURCHASE],327.0,262.0,353.0,942.0
[BREATHE],332.0,305.0,304.0,941.0
[DIFFER],260.0,356.0,324.0,940.0
[ATTRACT],295.0,253.0,391.0,939.0
[AID],311.0,321.0,306.0,938.0
[EXERT],278.0,319.0,338.0,935.0
[VENTURE],351.0,284.0,296.0,931.0
[ENDURE],334.0,306.0,291.0,931.0
[DRESS],299.0,342.0,286.0,927.0
[ENCOURAGE],343.0,300.0,284.0,927.0
[TRAVEL],344.0,253.0,329.0,926.0
[RECOVER],279.0,316.0,331.0,926.0
[INVITE],286.0,309.0,330.0,925.0
[MISTAKE],333.0,313.0,276.0,922.0
[SEAT],332.0,307.0,277.0,916.0
[FEED],260.0,290.0,362.0,912.0
[REVEAL],212.0,360.0,336.0,908.0
[INSIST],272.0,287.0,346.0,905.0
[END],269.0,310.0,326.0,905.0
[REGULATE],392.0,296.0,215.0,903.0
[INSPIRE],291.0,279.0,328.0,898.0
[DESIGN],314.0,298.0,286.0,898.0
[PULL],246.0,336.0,312.0,894.0
[BURY],307.0,301.0,286.0,894.0
[QUOTE],242.0,334.0,316.0,892.0
