TextId,WordCount,Genre,Year
53162,4653,FIC,1990
25036,55538,FIC,1993
25037,43904,FIC,1993
53862,1901,FIC,1993
53894,5873,FIC,1993
14640,3711,FIC,1993
16187,18424,FIC,1993
1040058,39728,FIC,1993
1040059,50028,FIC,1993
1040084,54498,FIC,1993
1040095,52931,FIC,1993
41220,4558,FIC,1994
41227,4028,FIC,1994
41234,6685,FIC,1994
41235,9236,FIC,1994
41241,9081,FIC,1994
41242,4342,FIC,1994
41243,6172,FIC,1994
41255,5222,FIC,1994
41258,2118,FIC,1994
41261,5492,FIC,1994
41276,7615,FIC,1994
41289,7136,FIC,1994
41292,5617,FIC,1994
41313,7419,FIC,1994
41315,4250,FIC,1994
41331,4035,FIC,1994
41339,2627,FIC,1994
41378,12212,FIC,1994
41383,2221,FIC,1994
41428,8916,FIC,1994
41575,6036,FIC,1994
16186,18758,FIC,1994
14635,6479,FIC,1994
14569,20389,FIC,1994
13608,18920,FIC,1994
13561,9384,FIC,1994
53919,6091,FIC,1994
53932,17619,FIC,1994
53935,4292,FIC,1994
54004,9225,FIC,1994
54007,562,FIC,1994
54030,4274,FIC,1994
54044,2413,FIC,1994
54057,5290,FIC,1994
54058,5327,FIC,1994
54059,6787,FIC,1994
54075,3554,FIC,1994
54093,1789,FIC,1994
54094,6876,FIC,1994
54106,7876,FIC,1994
54176,6936,FIC,1994
29424,1573,FIC,1994
32168,2417,FIC,1995
32276,4640,FIC,1995
29221,2492,FIC,1995
13286,1084,FIC,1995
14065,17483,FIC,1995
14349,20169,FIC,1995
16026,22052,FIC,1995
16177,25673,FIC,1995
16179,22534,FIC,1995
16263,20792,FIC,1995
39255,4081,FIC,1995
39258,3864,FIC,1995
39262,4537,FIC,1995
39263,6209,FIC,1995
39264,5997,FIC,1995
39270,3211,FIC,1995
39276,4247,FIC,1995
39304,5694,FIC,1995
39364,5384,FIC,1995
39365,5136,FIC,1995
39367,4628,FIC,1995
39368,4998,FIC,1995
39369,5662,FIC,1995
39370,4239,FIC,1995
39383,5808,FIC,1995
39388,5148,FIC,1995
39391,5851,FIC,1995
39407,5069,FIC,1995
39423,6766,FIC,1995
39513,5102,FIC,1995
52906,7407,FIC,1995
52949,1391,FIC,1995
53001,3857,FIC,1995
53006,7047,FIC,1995
53009,4883,FIC,1995
53013,2534,FIC,1995
53085,5677,FIC,1995
41778,3359,FIC,1996
41780,1413,FIC,1996
41782,1513,FIC,1996
41964,1976,FIC,1996
42006,3329,FIC,1996
42181,4027,FIC,1996
16178,28556,FIC,1996
54250,3192,FIC,1996
54312,9216,FIC,1996
54314,12919,FIC,1996
54333,7838,FIC,1996
54391,2911,FIC,1996
54422,4692,FIC,1996
54424,1234,FIC,1996
54469,5251,FIC,1996
54470,3787,FIC,1996
54490,3897,FIC,1996
30030,2464,FIC,1996
30053,2752,FIC,1996
27161,979,FIC,1996
27249,528,FIC,1996
27168,1265,FIC,1996
27169,935,FIC,1996
28099,2270,FIC,1996
30783,4362,FIC,1996
32498,1738,FIC,1996
32978,4355,FIC,1997
33328,3009,FIC,1997
32347,951,FIC,1997
32283,4498,FIC,1997
30520,1300,FIC,1997
30540,4219,FIC,1997
30691,4719,FIC,1997
30842,952,FIC,1997
28207,5199,FIC,1997
54588,3481,FIC,1997
54589,1041,FIC,1997
54594,7669,FIC,1997
54604,6145,FIC,1997
54617,5961,FIC,1997
54619,3173,FIC,1997
54712,4497,FIC,1997
54713,11842,FIC,1997
54716,5024,FIC,1997
54732,3175,FIC,1997
54733,8692,FIC,1997
54757,1319,FIC,1997
54758,5991,FIC,1997
54828,4698,FIC,1997
14534,18925,FIC,1997
16038,32025,FIC,1997
16182,19651,FIC,1997
42224,2228,FIC,1997
42225,3656,FIC,1997
42252,6375,FIC,1997
42280,6296,FIC,1997
42298,3516,FIC,1997
42330,2982,FIC,1997
42349,2653,FIC,1997
42395,7598,FIC,1997
42404,3469,FIC,1997
43066,4253,FIC,1997
43069,12999,FIC,1997
43112,5224,FIC,1998
43210,2414,FIC,1998
43213,5504,FIC,1998
43214,2586,FIC,1998
43215,6428,FIC,1998
14057,16872,FIC,1998
55167,8081,FIC,1998
43243,7600,FIC,1998
43246,6677,FIC,1998
43253,3464,FIC,1998
43256,5119,FIC,1998
43260,9809,FIC,1998
43268,2692,FIC,1998
43273,4384,FIC,1998
43313,19592,FIC,1998
43317,6278,FIC,1998
43331,4071,FIC,1998
43359,4468,FIC,1998
43408,2390,FIC,1998
43428,2938,FIC,1998
43529,4449,FIC,1998
43531,3545,FIC,1998
43724,4507,FIC,1998
43800,6399,FIC,1998
43924,4134,FIC,1998
44208,7156,FIC,1998
44212,12110,FIC,1998
44217,4331,FIC,1998
30045,895,FIC,1998
30041,1598,FIC,1998
29903,4848,FIC,1998
29652,937,FIC,1998
30066,2577,FIC,1998
27251,1722,FIC,1998
28147,2563,FIC,1998
28867,2961,FIC,1998
28879,957,FIC,1998
29180,1652,FIC,1998
28627,2529,FIC,1998
29427,2372,FIC,1998
30872,8005,FIC,1998
30877,1329,FIC,1998
30735,2434,FIC,1998
30664,1363,FIC,1998
30576,7375,FIC,1998
30542,3661,FIC,1998
30527,1971,FIC,1998
30511,845,FIC,1998
32280,1915,FIC,1998
32081,7249,FIC,1998
32348,1262,FIC,1998
