lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum,wpm
[WORLD],0.0,3.0,4.0,12.0,2.0,6.0,6.0,6.0,3.0,11.0,14.0,13.0,17.0,9.0,17.0,7.0,20.0,19.0,16.0,185.0,1.6228070175438596
[PROBLEM],0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,4.0,9.0,17.0,22.0,25.0,21.0,25.0,24.0,28.0,180.0,1.5789473684210527
[MAN],6.0,5.0,14.0,21.0,9.0,14.0,6.0,7.0,21.0,5.0,3.0,15.0,12.0,10.0,4.0,16.0,2.0,6.0,3.0,179.0,1.5701754385964912
[DEMAND],6.0,7.0,2.0,8.0,6.0,7.0,11.0,7.0,8.0,9.0,10.0,12.0,16.0,8.0,3.0,6.0,11.0,7.0,8.0,152.0,1.3333333333333333
[THING],13.0,4.0,10.0,14.0,8.0,7.0,7.0,6.0,3.0,8.0,3.0,9.0,3.0,5.0,3.0,5.0,3.0,5.0,8.0,124.0,1.087719298245614
[STATE],2.0,2.0,14.0,7.0,2.0,6.0,3.0,5.0,4.0,7.0,11.0,10.0,8.0,5.0,5.0,4.0,6.0,14.0,8.0,123.0,1.0789473684210527
[SYSTEM],3.0,3.0,3.0,2.0,1.0,3.0,4.0,0.0,2.0,2.0,7.0,5.0,6.0,11.0,8.0,6.0,6.0,25.0,16.0,113.0,0.9912280701754386
[IMPRESSION],0.0,2.0,5.0,4.0,4.0,3.0,6.0,6.0,10.0,16.0,6.0,5.0,8.0,7.0,9.0,6.0,3.0,6.0,7.0,113.0,0.9912280701754386
[IMAGE],0.0,0.0,3.0,5.0,2.0,2.0,0.0,3.0,2.0,3.0,1.0,6.0,3.0,11.0,6.0,11.0,8.0,16.0,17.0,99.0,0.868421052631579
[INTEREST],3.0,7.0,5.0,6.0,4.0,5.0,2.0,2.0,4.0,8.0,16.0,3.0,6.0,5.0,6.0,5.0,3.0,6.0,1.0,97.0,0.8508771929824561
[CONDITION],0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,2.0,6.0,8.0,6.0,8.0,9.0,14.0,3.0,6.0,13.0,14.0,95.0,0.8333333333333334
[SITUATION],0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,8.0,7.0,8.0,15.0,10.0,10.0,12.0,8.0,6.0,95.0,0.8333333333333334
