lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum,wpm
[TROUBLE],3.0,2.0,5.0,7.0,10.0,20.0,16.0,22.0,44.0,40.0,40.0,30.0,36.0,30.0,27.0,12.0,10.0,10.0,9.0,373.0,3.2719298245614037
[FOOL],8.0,19.0,6.0,6.0,28.0,17.0,28.0,15.0,13.0,30.0,24.0,26.0,28.0,34.0,21.0,22.0,23.0,16.0,8.0,372.0,3.263157894736842
[MATERIAL],15.0,22.0,6.0,9.0,6.0,13.0,12.0,12.0,14.0,33.0,25.0,38.0,51.0,31.0,15.0,20.0,16.0,16.0,17.0,371.0,3.254385964912281
[WOOD],7.0,21.0,22.0,25.0,18.0,30.0,14.0,23.0,18.0,20.0,15.0,25.0,22.0,30.0,13.0,15.0,17.0,15.0,20.0,370.0,3.245614035087719
[HASTE],50.0,31.0,23.0,31.0,16.0,25.0,30.0,41.0,32.0,40.0,15.0,10.0,4.0,6.0,0.0,4.0,6.0,1.0,2.0,367.0,3.219298245614035
[ALLOWANCE],34.0,31.0,34.0,19.0,29.0,24.0,23.0,25.0,23.0,25.0,21.0,14.0,20.0,18.0,6.0,10.0,5.0,4.0,1.0,366.0,3.210526315789474
[DEAL],1.0,10.0,5.0,9.0,6.0,14.0,13.0,9.0,13.0,7.0,11.0,18.0,42.0,32.0,28.0,34.0,43.0,35.0,36.0,366.0,3.210526315789474
[PERSON],20.0,33.0,22.0,21.0,19.0,20.0,27.0,16.0,19.0,12.0,13.0,14.0,32.0,18.0,19.0,15.0,14.0,15.0,16.0,365.0,3.2017543859649122
[PAPER],6.0,26.0,12.0,14.0,21.0,14.0,15.0,19.0,15.0,10.0,17.0,14.0,98.0,14.0,19.0,16.0,6.0,12.0,13.0,361.0,3.1666666666666665
[RULE],20.0,44.0,11.0,24.0,21.0,28.0,20.0,14.0,17.0,15.0,13.0,21.0,22.0,16.0,13.0,17.0,20.0,16.0,9.0,361.0,3.1666666666666665
[ESCAPE],34.0,18.0,57.0,40.0,29.0,30.0,16.0,33.0,10.0,19.0,15.0,8.0,16.0,6.0,7.0,4.0,5.0,5.0,7.0,359.0,3.1491228070175437
[WATER],7.0,21.0,16.0,20.0,21.0,20.0,19.0,20.0,13.0,26.0,20.0,18.0,31.0,10.0,24.0,13.0,15.0,19.0,25.0,358.0,3.1403508771929824
[SORT],9.0,20.0,23.0,23.0,10.0,29.0,17.0,17.0,19.0,18.0,29.0,18.0,27.0,15.0,20.0,26.0,15.0,14.0,8.0,357.0,3.1315789473684212
[MOTION],26.0,26.0,16.0,18.0,14.0,14.0,13.0,11.0,13.0,14.0,21.0,16.0,29.0,21.0,31.0,20.0,15.0,19.0,14.0,351.0,3.0789473684210527
[TURN],10.0,13.0,7.0,9.0,10.0,15.0,21.0,14.0,23.0,15.0,27.0,20.0,28.0,32.0,11.0,14.0,21.0,29.0,32.0,351.0,3.0789473684210527
[RUN],12.0,5.0,13.0,13.0,11.0,8.0,15.0,11.0,18.0,18.0,22.0,17.0,46.0,14.0,31.0,22.0,30.0,23.0,22.0,351.0,3.0789473684210527
[BOOK],19.0,13.0,20.0,22.0,11.0,26.0,22.0,17.0,26.0,30.0,15.0,19.0,16.0,21.0,13.0,11.0,13.0,12.0,10.0,336.0,2.9473684210526314
[PURPOSE],22.0,29.0,27.0,23.0,33.0,20.0,19.0,22.0,14.0,23.0,19.0,21.0,24.0,11.0,6.0,10.0,4.0,3.0,5.0,335.0,2.93859649122807
[HISTORY],15.0,20.0,8.0,14.0,18.0,10.0,20.0,13.0,15.0,13.0,14.0,15.0,16.0,31.0,18.0,18.0,26.0,26.0,24.0,334.0,2.9298245614035086
[KING],15.0,16.0,35.0,27.0,21.0,15.0,25.0,32.0,21.0,10.0,18.0,7.0,18.0,13.0,8.0,20.0,15.0,8.0,7.0,331.0,2.9035087719298245
[MOVEMENT],17.0,11.0,15.0,21.0,16.0,21.0,19.0,37.0,29.0,21.0,16.0,17.0,20.0,11.0,14.0,14.0,6.0,17.0,6.0,328.0,2.8771929824561404
[WIFE],24.0,21.0,29.0,13.0,19.0,22.0,27.0,30.0,22.0,14.0,16.0,13.0,17.0,19.0,5.0,18.0,6.0,3.0,8.0,326.0,2.8596491228070176
[LINE],10.0,18.0,7.0,7.0,13.0,13.0,9.0,22.0,37.0,22.0,29.0,24.0,24.0,18.0,18.0,15.0,17.0,10.0,12.0,325.0,2.8508771929824563
[SUCCESS],4.0,4.0,7.0,8.0,14.0,11.0,20.0,16.0,35.0,39.0,26.0,40.0,28.0,26.0,15.0,4.0,11.0,7.0,7.0,322.0,2.824561403508772
[FIGURE],24.0,16.0,12.0,24.0,16.0,12.0,21.0,22.0,22.0,13.0,18.0,16.0,33.0,5.0,14.0,16.0,12.0,16.0,9.0,321.0,2.8157894736842106
[EXPERIMENT],27.0,25.0,25.0,25.0,32.0,15.0,16.0,29.0,25.0,12.0,18.0,11.0,17.0,8.0,19.0,0.0,7.0,5.0,2.0,318.0,2.789473684210526
[CITY],10.0,7.0,8.0,8.0,13.0,11.0,12.0,36.0,36.0,17.0,16.0,21.0,17.0,14.0,14.0,24.0,19.0,10.0,21.0,314.0,2.754385964912281
[MEMBER],9.0,15.0,17.0,7.0,13.0,16.0,22.0,19.0,19.0,12.0,27.0,27.0,21.0,22.0,8.0,18.0,21.0,15.0,6.0,314.0,2.754385964912281
[BACK],9.0,2.0,8.0,4.0,9.0,15.0,17.0,14.0,18.0,25.0,23.0,17.0,22.0,20.0,10.0,18.0,30.0,23.0,27.0,311.0,2.7280701754385963
[CLAIM],10.0,12.0,9.0,12.0,7.0,4.0,9.0,17.0,23.0,11.0,14.0,18.0,20.0,21.0,20.0,22.0,24.0,34.0,24.0,311.0,2.7280701754385963
[COMMENT],11.0,6.0,7.0,4.0,11.0,8.0,8.0,11.0,11.0,28.0,26.0,29.0,26.0,29.0,23.0,15.0,21.0,19.0,17.0,310.0,2.719298245614035
[ATTACK],23.0,18.0,13.0,18.0,18.0,35.0,29.0,33.0,11.0,17.0,19.0,14.0,16.0,14.0,5.0,8.0,8.0,2.0,4.0,305.0,2.675438596491228
[ENEMY],23.0,13.0,14.0,23.0,17.0,30.0,16.0,22.0,21.0,13.0,12.0,9.0,13.0,22.0,17.0,11.0,9.0,6.0,13.0,304.0,2.6666666666666665
[APPEAL],14.0,12.0,23.0,12.0,19.0,13.0,11.0,15.0,29.0,45.0,20.0,19.0,25.0,11.0,11.0,11.0,8.0,1.0,4.0,303.0,2.6578947368421053
[NATION],29.0,10.0,23.0,22.0,18.0,16.0,18.0,19.0,19.0,20.0,14.0,10.0,20.0,17.0,17.0,9.0,6.0,6.0,10.0,303.0,2.6578947368421053
[PRESIDENT],9.0,15.0,9.0,13.0,7.0,20.0,21.0,20.0,14.0,13.0,20.0,19.0,33.0,20.0,17.0,14.0,20.0,10.0,6.0,300.0,2.6315789473684212
[CONTACT],0.0,0.0,1.0,1.0,4.0,0.0,2.0,7.0,6.0,2.0,13.0,17.0,33.0,37.0,28.0,25.0,34.0,33.0,56.0,299.0,2.6228070175438596
[CONDITION],19.0,16.0,20.0,15.0,12.0,23.0,15.0,22.0,21.0,27.0,26.0,19.0,14.0,10.0,11.0,9.0,8.0,5.0,6.0,298.0,2.6140350877192984
[CONCESSION],5.0,26.0,11.0,6.0,16.0,7.0,18.0,11.0,14.0,12.0,14.0,12.0,40.0,30.0,18.0,15.0,30.0,9.0,2.0,296.0,2.5964912280701755
[FAMILY],15.0,9.0,13.0,10.0,11.0,12.0,14.0,19.0,5.0,17.0,12.0,18.0,25.0,19.0,9.0,23.0,23.0,18.0,24.0,296.0,2.5964912280701755
