lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum,wpm
[INSTRUCTION],32.0,34.0,31.0,27.0,34.0,20.0,30.0,30.0,19.0,30.0,54.0,27.0,48.0,22.0,23.0,19.0,20.0,18.0,15.0,533.0,4.675438596491228
[WORLD],45.0,27.0,36.0,36.0,43.0,34.0,30.0,27.0,30.0,32.0,32.0,31.0,22.0,28.0,14.0,26.0,14.0,12.0,13.0,532.0,4.666666666666667
[HOPE],40.0,20.0,46.0,35.0,21.0,25.0,23.0,30.0,18.0,20.0,21.0,17.0,21.0,33.0,19.0,26.0,14.0,21.0,23.0,473.0,4.149122807017544
[OPINION],57.0,68.0,28.0,31.0,45.0,28.0,34.0,31.0,26.0,7.0,15.0,12.0,18.0,9.0,16.0,10.0,7.0,4.0,6.0,452.0,3.9649122807017543
[NUMBER],10.0,12.0,18.0,18.0,9.0,16.0,16.0,17.0,19.0,31.0,25.0,26.0,42.0,25.0,26.0,33.0,36.0,39.0,31.0,449.0,3.93859649122807
[THING],30.0,20.0,23.0,21.0,26.0,37.0,22.0,29.0,36.0,31.0,21.0,17.0,16.0,29.0,22.0,18.0,18.0,15.0,14.0,445.0,3.9035087719298245
[EFFECT],32.0,46.0,35.0,18.0,32.0,14.0,29.0,23.0,15.0,22.0,33.0,35.0,46.0,12.0,16.0,13.0,5.0,12.0,6.0,444.0,3.8947368421052633
[STRENGTH],39.0,16.0,33.0,24.0,32.0,43.0,19.0,26.0,17.0,39.0,17.0,18.0,23.0,15.0,13.0,22.0,10.0,10.0,23.0,439.0,3.8508771929824563
[PUBLIC],41.0,50.0,31.0,35.0,25.0,20.0,25.0,23.0,24.0,28.0,21.0,8.0,17.0,15.0,15.0,17.0,10.0,19.0,7.0,431.0,3.780701754385965
[VIEW],35.0,46.0,49.0,33.0,21.0,26.0,18.0,28.0,16.0,15.0,16.0,13.0,13.0,16.0,16.0,14.0,15.0,13.0,16.0,419.0,3.675438596491228
[CHARACTER],41.0,51.0,58.0,31.0,27.0,32.0,32.0,20.0,20.0,21.0,9.0,7.0,12.0,14.0,7.0,9.0,13.0,5.0,7.0,416.0,3.6491228070175437
[LIGHT],19.0,18.0,26.0,23.0,21.0,28.0,30.0,24.0,26.0,17.0,18.0,26.0,29.0,32.0,23.0,19.0,19.0,9.0,5.0,412.0,3.6140350877192984
[EXPRESSION],15.0,23.0,26.0,31.0,30.0,34.0,33.0,32.0,31.0,33.0,19.0,21.0,24.0,12.0,10.0,11.0,7.0,10.0,7.0,409.0,3.587719298245614
[FORM],22.0,19.0,35.0,30.0,28.0,19.0,11.0,16.0,28.0,20.0,18.0,26.0,20.0,25.0,17.0,17.0,10.0,23.0,7.0,391.0,3.4298245614035086
[TROUBLE],29.0,16.0,25.0,23.0,35.0,30.0,18.0,22.0,17.0,18.0,13.0,27.0,28.0,20.0,22.0,16.0,9.0,5.0,9.0,382.0,3.3508771929824563
[APPEARANCE],21.0,33.0,21.0,31.0,17.0,25.0,35.0,13.0,10.0,15.0,23.0,29.0,29.0,15.0,18.0,10.0,20.0,7.0,8.0,380.0,3.3333333333333335
[OTHER],31.0,27.0,36.0,31.0,21.0,26.0,13.0,23.0,17.0,24.0,13.0,19.0,22.0,18.0,13.0,13.0,22.0,8.0,3.0,380.0,3.3333333333333335
[SATISFACTION],28.0,29.0,26.0,27.0,30.0,26.0,25.0,24.0,31.0,24.0,8.0,15.0,24.0,15.0,10.0,10.0,10.0,5.0,12.0,379.0,3.324561403508772
[NOTICE],45.0,57.0,32.0,24.0,29.0,22.0,26.0,18.0,20.0,12.0,10.0,21.0,17.0,11.0,4.0,8.0,7.0,7.0,7.0,377.0,3.307017543859649
[SENSE],6.0,11.0,16.0,11.0,14.0,19.0,14.0,23.0,20.0,21.0,19.0,17.0,37.0,24.0,18.0,24.0,27.0,18.0,32.0,371.0,3.254385964912281
[PARTY],11.0,28.0,13.0,10.0,23.0,16.0,13.0,14.0,17.0,14.0,21.0,34.0,44.0,19.0,23.0,19.0,23.0,14.0,7.0,363.0,3.1842105263157894
[PICTURE],14.0,18.0,8.0,20.0,18.0,11.0,25.0,20.0,20.0,17.0,23.0,44.0,28.0,31.0,21.0,14.0,11.0,9.0,7.0,359.0,3.1491228070175437
[GENERAL],25.0,43.0,32.0,24.0,18.0,20.0,21.0,15.0,22.0,22.0,21.0,20.0,22.0,9.0,16.0,8.0,6.0,6.0,5.0,355.0,3.1140350877192984
[ADVANTAGE],22.0,35.0,30.0,28.0,22.0,23.0,27.0,24.0,15.0,16.0,16.0,18.0,16.0,13.0,11.0,9.0,6.0,10.0,12.0,353.0,3.0964912280701755
