lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum,wpm
[MEASURE],58.0,73.0,55.0,34.0,34.0,31.0,35.0,30.0,29.0,38.0,28.0,25.0,30.0,15.0,19.0,27.0,24.0,26.0,24.0,635.0,5.5701754385964914
[WORD],35.0,35.0,39.0,17.0,28.0,28.0,42.0,41.0,37.0,25.0,48.0,32.0,34.0,39.0,37.0,22.0,29.0,25.0,23.0,616.0,5.4035087719298245
[REFUGE],59.0,34.0,19.0,41.0,43.0,56.0,47.0,43.0,54.0,40.0,26.0,25.0,28.0,24.0,19.0,12.0,15.0,9.0,9.0,603.0,5.2894736842105265
[STAND],21.0,32.0,40.0,27.0,21.0,22.0,40.0,27.0,33.0,40.0,38.0,36.0,37.0,45.0,49.0,35.0,29.0,16.0,15.0,603.0,5.2894736842105265
[HAT],19.0,24.0,28.0,25.0,30.0,47.0,52.0,29.0,36.0,64.0,45.0,54.0,29.0,17.0,40.0,17.0,18.0,12.0,8.0,594.0,5.2105263157894735
[HOUSE],33.0,20.0,33.0,27.0,43.0,41.0,33.0,52.0,38.0,43.0,23.0,30.0,38.0,33.0,19.0,20.0,31.0,12.0,24.0,593.0,5.201754385964913
[HOME],10.0,8.0,9.0,23.0,41.0,40.0,30.0,35.0,34.0,35.0,35.0,36.0,38.0,38.0,23.0,28.0,40.0,34.0,37.0,574.0,5.035087719298246
[TROUBLE],33.0,46.0,29.0,32.0,44.0,43.0,45.0,48.0,43.0,28.0,31.0,31.0,22.0,27.0,19.0,16.0,15.0,10.0,9.0,571.0,5.008771929824562
[WALK],21.0,17.0,15.0,19.0,23.0,35.0,20.0,39.0,27.0,19.0,34.0,26.0,34.0,38.0,36.0,46.0,34.0,43.0,41.0,567.0,4.973684210526316
[PLEASURE],45.0,51.0,40.0,39.0,35.0,40.0,31.0,35.0,22.0,25.0,20.0,18.0,31.0,20.0,12.0,27.0,25.0,16.0,17.0,549.0,4.815789473684211
[NAME],31.0,27.0,39.0,30.0,36.0,35.0,23.0,34.0,32.0,38.0,13.0,20.0,46.0,25.0,21.0,23.0,21.0,19.0,15.0,528.0,4.631578947368421
[OATH],43.0,52.0,52.0,31.0,34.0,22.0,38.0,26.0,20.0,27.0,16.0,24.0,32.0,29.0,16.0,14.0,9.0,25.0,16.0,526.0,4.614035087719298
[PRISONER],79.0,26.0,35.0,37.0,42.0,32.0,14.0,36.0,35.0,50.0,18.0,8.0,28.0,13.0,9.0,13.0,18.0,14.0,11.0,518.0,4.543859649122807
[CASE],15.0,15.0,21.0,23.0,26.0,28.0,22.0,25.0,48.0,31.0,36.0,37.0,40.0,20.0,31.0,25.0,32.0,27.0,13.0,515.0,4.517543859649122
[CONSIDERATION],32.0,49.0,39.0,39.0,26.0,32.0,23.0,17.0,25.0,40.0,31.0,31.0,26.0,30.0,18.0,9.0,10.0,11.0,25.0,513.0,4.5
[JOB],0.0,1.0,1.0,3.0,3.0,2.0,3.0,1.0,10.0,13.0,12.0,43.0,74.0,71.0,52.0,51.0,51.0,46.0,60.0,497.0,4.359649122807017
[WORK],15.0,17.0,5.0,17.0,26.0,25.0,34.0,34.0,39.0,34.0,33.0,30.0,31.0,21.0,24.0,25.0,22.0,32.0,33.0,497.0,4.359649122807017
[PICTURE],5.0,3.0,1.0,6.0,3.0,7.0,19.0,12.0,15.0,21.0,12.0,37.0,48.0,37.0,39.0,53.0,38.0,80.0,60.0,496.0,4.350877192982456
[LEAD],26.0,37.0,28.0,26.0,33.0,35.0,27.0,14.0,17.0,17.0,28.0,28.0,26.0,33.0,20.0,16.0,38.0,18.0,21.0,488.0,4.280701754385965
[RISK],5.0,2.0,4.0,1.0,8.0,17.0,29.0,25.0,21.0,34.0,34.0,26.0,36.0,36.0,27.0,34.0,54.0,49.0,38.0,480.0,4.2105263157894735
[SHAPE],10.0,14.0,8.0,16.0,28.0,28.0,27.0,21.0,25.0,30.0,23.0,25.0,40.0,24.0,32.0,18.0,35.0,28.0,29.0,461.0,4.043859649122807
[PAPER],20.0,40.0,23.0,23.0,24.0,30.0,22.0,34.0,19.0,30.0,32.0,26.0,46.0,17.0,18.0,19.0,9.0,17.0,12.0,461.0,4.043859649122807
[MATTER],10.0,11.0,18.0,13.0,27.0,32.0,40.0,50.0,33.0,44.0,37.0,25.0,24.0,21.0,19.0,16.0,14.0,13.0,8.0,455.0,3.991228070175439
[OFFICE],1.0,18.0,14.0,13.0,11.0,16.0,18.0,22.0,24.0,15.0,25.0,32.0,37.0,34.0,32.0,45.0,60.0,15.0,17.0,449.0,3.93859649122807
[PEOPLE],14.0,17.0,12.0,22.0,16.0,16.0,16.0,20.0,29.0,22.0,16.0,18.0,36.0,21.0,39.0,30.0,41.0,29.0,31.0,445.0,3.9035087719298245
[WATER],12.0,16.0,25.0,23.0,28.0,29.0,26.0,24.0,23.0,30.0,33.0,24.0,34.0,14.0,22.0,15.0,20.0,17.0,29.0,444.0,3.8947368421052633
[ROOM],8.0,10.0,12.0,13.0,30.0,30.0,20.0,25.0,15.0,31.0,21.0,31.0,37.0,31.0,26.0,32.0,18.0,22.0,17.0,429.0,3.763157894736842
[ORDER],13.0,25.0,11.0,7.0,16.0,12.0,16.0,14.0,39.0,17.0,31.0,28.0,45.0,36.0,32.0,18.0,22.0,26.0,20.0,428.0,3.754385964912281
[LIBERTY],70.0,41.0,43.0,37.0,26.0,19.0,47.0,27.0,13.0,14.0,7.0,14.0,20.0,11.0,16.0,8.0,1.0,5.0,7.0,426.0,3.736842105263158
[BOOK],22.0,13.0,31.0,20.0,37.0,28.0,28.0,27.0,24.0,19.0,26.0,18.0,29.0,19.0,26.0,18.0,9.0,13.0,9.0,416.0,3.6491228070175437
[RESPONSIBILITY],3.0,9.0,7.0,13.0,10.0,22.0,10.0,13.0,7.0,24.0,17.0,21.0,32.0,29.0,36.0,41.0,47.0,44.0,30.0,415.0,3.6403508771929824
