lemma,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,sum,wpm
[WOLF],3.0,7.0,3.0,3.0,2.0,10.0,10.0,6.0,2.0,5.0,1.0,0.0,2.0,0.0,2.0,2.0,4.0,4.0,2.0,68.0,0.5964912280701754
[FLOWER],0.0,3.0,8.0,5.0,2.0,3.0,4.0,4.0,20.0,3.0,1.0,6.0,3.0,2.0,0.0,2.0,0.0,0.0,1.0,67.0,0.5877192982456141
[TRUTH],7.0,7.0,10.0,6.0,5.0,4.0,4.0,6.0,1.0,1.0,5.0,6.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,66.0,0.5789473684210527
[HEAD],8.0,2.0,6.0,6.0,4.0,4.0,4.0,8.0,6.0,1.0,1.0,2.0,3.0,0.0,4.0,1.0,3.0,2.0,0.0,65.0,0.5701754385964912
[CROP],1.0,17.0,22.0,9.0,1.0,2.0,0.0,1.0,3.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,64.0,0.5614035087719298
[INSCRIPTION],1.0,5.0,1.0,3.0,7.0,2.0,7.0,9.0,5.0,4.0,3.0,0.0,2.0,4.0,3.0,4.0,0.0,2.0,2.0,64.0,0.5614035087719298
[LIGHT],6.0,7.0,11.0,1.0,4.0,5.0,6.0,8.0,4.0,3.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,64.0,0.5614035087719298
[WORD],1.0,5.0,4.0,4.0,4.0,5.0,13.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,1.0,1.0,3.0,63.0,0.5526315789473685
[CASE],5.0,8.0,3.0,3.0,3.0,4.0,6.0,7.0,5.0,2.0,2.0,3.0,2.0,0.0,3.0,2.0,1.0,0.0,2.0,61.0,0.5350877192982456
[COMPANY],4.0,4.0,3.0,7.0,1.0,4.0,6.0,9.0,4.0,3.0,1.0,1.0,2.0,3.0,0.0,3.0,0.0,1.0,4.0,60.0,0.5263157894736842
[GENERAL],3.0,2.0,13.0,6.0,10.0,0.0,4.0,4.0,3.0,4.0,1.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,58.0,0.5087719298245614
[FLAG],3.0,10.0,4.0,8.0,1.0,4.0,3.0,13.0,3.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,57.0,0.5
[CUB],1.0,4.0,0.0,2.0,2.0,2.0,1.0,12.0,4.0,8.0,3.0,5.0,1.0,5.0,2.0,2.0,0.0,1.0,2.0,57.0,0.5
[SHOULDER],2.0,5.0,7.0,6.0,9.0,6.0,4.0,5.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,57.0,0.5
[EVIDENCE],0.0,7.0,3.0,6.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,5.0,1.0,3.0,1.0,0.0,2.0,0.0,56.0,0.49122807017543857
[--],1.0,1.0,1.0,2.0,2.0,9.0,9.0,2.0,4.0,2.0,3.0,3.0,0.0,1.0,2.0,2.0,2.0,7.0,2.0,55.0,0.4824561403508772
[FACE],2.0,4.0,6.0,3.0,5.0,2.0,9.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.0,2.0,55.0,0.4824561403508772
[HEART],6.0,10.0,6.0,6.0,8.0,3.0,5.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,55.0,0.4824561403508772
[PROBLEM],0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,3.0,6.0,6.0,4.0,6.0,4.0,6.0,2.0,5.0,5.0,1.0,54.0,0.47368421052631576
[LETTER],4.0,4.0,4.0,5.0,8.0,1.0,3.0,3.0,2.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,52.0,0.45614035087719296
[NUMBER],1.0,6.0,2.0,3.0,1.0,1.0,3.0,7.0,6.0,0.0,4.0,2.0,3.0,3.0,3.0,0.0,3.0,3.0,1.0,52.0,0.45614035087719296
[MESSAGE],4.0,5.0,6.0,6.0,4.0,2.0,2.0,6.0,3.0,7.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,52.0,0.45614035087719296
[BODY],4.0,7.0,4.0,2.0,1.0,5.0,1.0,3.0,6.0,3.0,5.0,2.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,51.0,0.4473684210526316
[TRACE],4.0,2.0,3.0,0.0,3.0,7.0,4.0,14.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,51.0,0.4473684210526316
[COMPARISON],9.0,8.0,5.0,5.0,5.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,50.0,0.43859649122807015
[PAIN],4.0,1.0,5.0,4.0,5.0,5.0,1.0,5.0,7.0,2.0,0.0,2.0,0.0,0.0,3.0,1.0,3.0,2.0,0.0,50.0,0.43859649122807015
[MARKET],1.0,3.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,1.0,2.0,4.0,2.0,5.0,5.0,49.0,0.4298245614035088
[OTHER],4.0,3.0,4.0,8.0,0.0,2.0,7.0,4.0,1.0,3.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,48.0,0.42105263157894735
[HUMAN],2.0,4.0,7.0,8.0,4.0,4.0,2.0,4.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,47.0,0.41228070175438597
[BACK],2.0,1.0,2.0,5.0,4.0,3.0,2.0,0.0,2.0,6.0,4.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,2.0,46.0,0.40350877192982454
[KIND],4.0,5.0,2.0,5.0,3.0,2.0,1.0,3.0,6.0,2.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,2.0,3.0,46.0,0.40350877192982454
[SHARE],0.0,1.0,6.0,2.0,2.0,1.0,1.0,4.0,2.0,4.0,3.0,3.0,5.0,5.0,3.0,0.0,2.0,2.0,0.0,46.0,0.40350877192982454
[WOOD],2.0,22.0,4.0,4.0,2.0,1.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,45.0,0.39473684210526316
[SON],2.0,3.0,2.0,1.0,2.0,2.0,1.0,5.0,3.0,2.0,3.0,2.0,4.0,3.0,1.0,3.0,4.0,2.0,0.0,45.0,0.39473684210526316
[PEOPLE],1.0,4.0,5.0,4.0,3.0,1.0,4.0,4.0,3.0,4.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,45.0,0.39473684210526316
[POWER],2.0,7.0,4.0,5.0,2.0,6.0,2.0,3.0,1.0,2.0,3.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,45.0,0.39473684210526316
[MARK],4.0,1.0,1.0,1.0,4.0,5.0,3.0,1.0,5.0,4.0,1.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,0.0,44.0,0.38596491228070173
[STATE],5.0,6.0,7.0,3.0,5.0,0.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,0.0,1.0,2.0,1.0,4.0,0.0,44.0,0.38596491228070173
[COUNTRY],5.0,9.0,5.0,3.0,3.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,1.0,44.0,0.38596491228070173
[TREE],0.0,7.0,11.0,13.0,0.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,44.0,0.38596491228070173
[WAY],2.0,2.0,2.0,2.0,3.0,3.0,2.0,6.0,3.0,3.0,1.0,4.0,1.0,2.0,1.0,3.0,2.0,2.0,0.0,44.0,0.38596491228070173
[COST],2.0,1.0,1.0,4.0,1.0,1.0,1.0,0.0,3.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,3.0,9.0,2.0,43.0,0.37719298245614036
[BLAME],6.0,3.0,2.0,4.0,2.0,1.0,1.0,5.0,2.0,2.0,4.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,3.0,43.0,0.37719298245614036
[EXPENSE],3.0,3.0,3.0,2.0,11.0,0.0,1.0,8.0,4.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,42.0,0.3684210526315789
[LOVE],4.0,5.0,5.0,1.0,3.0,7.0,2.0,4.0,3.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,40.0,0.3508771929824561
[LOSS],4.0,6.0,6.0,4.0,4.0,1.0,1.0,4.0,0.0,2.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,39.0,0.34210526315789475
[MOTHER],4.0,3.0,1.0,4.0,0.0,1.0,3.0,2.0,3.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,39.0,0.34210526315789475
[SPIRIT],6.0,3.0,4.0,6.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,4.0,4.0,1.0,39.0,0.34210526315789475
[PRESENT],4.0,3.0,3.0,3.0,3.0,5.0,2.0,4.0,0.0,4.0,1.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,39.0,0.34210526315789475
[WORK],0.0,2.0,3.0,6.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,39.0,0.34210526315789475
