textID,  # words  ,genre,year,title,author,Publication information,Library of Congress classification (NF),FIXED
16516," 24,322 ",FIC,1940,They Knew What They Wanted,,[Movie script],,n
16513," 19,172 ",FIC,1940,Stranger on the Third Floor,,[Movie script],,n
23402," 4,617 ",FIC,1940,Mr. Penfold,H.E. (Herbert Ernest) Bates,Harpers Magazine (194001) pages: 140-146,,n
23403," 13,693 ",FIC,1940,After many a summer: ,Aldous Huxley,Harpers Magazine (194001) pages: 196-216,,n
10138," 35,644 ",FIC,1940,How Green Was My Valley,Richard Llewellyn,Random House 1958,,n
10140," 37,264 ",FIC,1940,Death Thumbs a Ride,Jean Lilly,"Harper & Row, Publishers 1962",,n
10141," 51,712 ",FIC,1940,Murder on the Face of It,Emma Lou Fetta,Harper & Row 1962,,n
12499, 425 ,FIC,1940,Cops and Robbers,"Hughes, Langston, 1902-1967",[Play script],,n
780152," 48,862 ",FIC,1940,The Laughing Fox,Frank Gruber,"New York: Farrar & Rinehart, Inc.",,n
780138," 48,211 ",FIC,1941,Mark's Own,Sarah Atherton,"Indianapolis, New York: The Bobbs-Merrill Company",,n
14257," 26,154 ",FIC,1941,The Highland Call,"Green, Paul Eliot, 1894-1981",[Play script],,n
16023," 24,597 ",FIC,1941,"Devil and Daniel Webster, The","Benet, Stephen Vincent, 1898-1943",[Movie script],,n
16129," 24,181 ",FIC,1941,Underground,"Mayer, Edwin Justus, 1896-1960; Garrett, Oliver H.P., 1894-1952",[Movie script],,n
16257," 26,700 ",FIC,1941,High Sierra,,[Movie script],,n
23420," 4,425 ",FIC,1941,Grasshoppers' field day,Dorothy Baker,Harpers Magazine (194101) pages: 120-126,,n
13849," 5,611 ",FIC,1942,Talking to You,"Saroyan, William, 1908-1981",[Play script],,n
13850," 3,044 ",FIC,1942,Coming Through the Rye,"Saroyan, William, 1908-1981",[Play script],,n
13804," 23,060 ",FIC,1942,Highway,"Treadwell, Sophie, 1885-1970",[Play script],,n
10154," 49,393 ",FIC,1942,Angel with Spurs,Paul I. Wellman,Stein and Day 1967,,n
780144," 48,769 ",FIC,1942,Wolf in Man's Clothing,Mignon G. Eberhart,New York: Grosset & Dunlap,,n
780153," 48,071 ",FIC,1942,The Firedrake,Elgin Groseclose,"Philadelphia, New York: J.B. Lippincott Company",,n
780146," 49,423 ",FIC,1942,Owls Don't Blink,A. A. Fair,New York: William Morrow & Co.,,n
780148," 49,510 ",FIC,1943,Journey in the Dark,Martin Flavin,New York: Harper & Brothers Publishers,,n
780140," 50,590 ",FIC,1943,Trio,Dorothy Baker,Boston: Houghton Mifflin Company,,n
12158," 2,546 ",FIC,1943,The Shape of Wars to Come,"Edmonds, Randolph, 1900-1983",[Play script],,n
14016," 23,988 ",FIC,1944,Harvey,"Chase, Mary Coyle, 1907-1981",[Play script],,n
13824," 21,664 ",FIC,1944,The Last Border,"Treadwell, Sophie, 1885-1970",[Play script],,n
13437," 15,420 ",FIC,1944,Yes Is for a Very Young Man,"Stein, Gertrude, 1874-1946",[Play script],,n
14498, 729 ,FIC,1944,Letter to Jackie,"Anderson, Maxwell, 1888-1959",[Play script],,n
14634," 5,644 ",FIC,1944,The Getaway,"Saroyan, William, 1908-1981",[Play script],,n
10181," 65,754 ",FIC,1944,Dragonwyck,Anya Seton,St. Martin's Press 1988,,n
10182," 55,559 ",FIC,1944,Lost Weekend,Charles Jackson,,,n
10183," 60,890 ",FIC,1944,Walk in the Sun and Valley of the Sky,Harry Brown and Hobert Douglas Skidmore,,,n
10184," 72,928 ",FIC,1944,Final Hour,Taylor Caldwell,,,n
10185," 50,016 ",FIC,1944,Freedom Road,Howard Fast,,,n
10186," 46,599 ",FIC,1944,Crazy Weather,Charles L. McNichols,,,n
781949," 47,434 ",FIC,1945,The Happy Time,Robert Fontaine,Simon and Schuster,,n
1010," 78,193 ",FIC,1945,The Metal Monster,"Merritt, Abraham, 1884-1943",[Short story] In: New York,,n
1050," 7,258 ",FIC,1946,The Parenticide Club,"Bierce, Ambrose, 1842-1914?",[Short story] In: New York,,n
394," 18,178 ",FIC,1946,Anthem,"Rand, Ayn, 1905-1982",[Short story] In: New York,,n
23510," 4,832 ",FIC,1946,Bread and games,John Downing Weaver,Harpers Magazine (194611) pages: 405-411,,n
10209, 673 ,FIC,1946,Turquoise,Anya Seton,,,n
10210," 61,290 ",FIC,1946,Foretaste of Glory,Jesse Stuart,,,n
10211," 58,811 ",FIC,1946,Bridge of Years,May Sarton,,,n
10212," 68,253 ",FIC,1946,Salem Frigate,John Jennings,,,n
10213," 55,645 ",FIC,1946,Mister Robetrs,Thomas Heggen,,,n
10215," 69,749 ",FIC,1946,Miracle of the Bells,Russell Janney,,,n
10221," 68,623 ",FIC,1947,Presidential Mission,Upton Sinclair,,,n
